top_positive_token,top_positive_coef,top_negative_token,top_negative_coef
husband,17.14543755777772,wife,-12.604268610705644
boyfriend,7.106274672461541,bro,-6.169953093802128
lmao,6.466956405423178,gay,-5.994363294850797
bc,6.429522456451236,gf,-5.480546470053018
baby,6.273320089653601,fuck,-4.746238256393261
child,5.835422155472835,probably,-4.451118689681162
omg,5.746891836776202,play,-4.094629727566283
feel,5.5087297202783425,argument,-4.011680018151259
thank,5.286194586977487,good,-3.89511272616996
stock,5.074154682093536,fucking,-3.8472737497027722
love,4.970423117990735,attractive,-3.8439151885254312
hair,4.810548145473218,engineer,-3.810234704819132
etc,4.714103650050953,nice,-3.6704847379368735
ch,4.542841510753495,game,-3.607310457483366
stamp,4.538347229912786,world,-3.5679812477915656
partner,4.525537165134472,beer,-3.4933705643958195
tho,4.483721527723927,father,-3.469058833642012
sorry,4.403788919508824,gym,-3.4668581941175276
period,4.3742937249780764,stuff,-3.416001291668933
especially,4.368559608781054,dude,-3.391293205488014
