ngram_range,min_df,C,f1_mean,f1_std
"(1, 1)",2,0.5,0.7885115584209357,0.02679933771029729
"(1, 1)",2,1.0,0.7935401246081208,0.02434130205082351
"(1, 1)",2,2.0,0.7961550090686245,0.022733845993964025
"(1, 1)",5,0.5,0.7890351652769265,0.026914305727981053
"(1, 1)",5,1.0,0.7941926641676359,0.02420257049032062
"(1, 1)",5,2.0,0.7961374947132238,0.022219903530016846
"(1, 2)",2,0.5,0.780271349331308,0.0343269755258247
"(1, 2)",2,1.0,0.7891333007845164,0.031797353696470736
"(1, 2)",2,2.0,0.7951817847795253,0.029935752546855404
"(1, 2)",5,0.5,0.7831593651117196,0.0332959861747757
"(1, 2)",5,1.0,0.7910975745687847,0.030631084398531263
"(1, 2)",5,2.0,0.7976885006656268,0.029352900900382676
