top_positive_token,top_positive_coef,top_negative_token,top_negative_coef
husband,15.189441872901048,wife,-11.812580496062514
punctdot husband,6.82040729589226,punctdot wife,-7.40334441963023
boyfriend,6.286746874206401,bro,-5.87867859398724
lmao,6.0562214542792905,gay,-5.788874208592508
bc,5.982795019040237,gf,-4.964932257865065
child,5.600353669662062,good,-4.363411464018582
baby,5.519263275180249,punctdot punctsemicolon,-4.3282416261244006
punctexclam,5.192392746049621,fuck,-4.236240500958064
stock,5.096354490269308,play,-3.8249732630410156
emotsmile,4.984342784412786,probably,-3.7105371410078507
feel,4.855161119249671,awesome,-3.6268502284408837
hair,4.744360494065646,great,-3.625615755653186
stamp,4.244194951008535,engineer,-3.5919451396158686
partner,4.188777521555559,argument,-3.52876116917906
tho,4.100046492185102,fucking,-3.4926284158180927
period,4.098122052442421,punctdot punctbracketo,-3.3763680353967214
omg,3.9761863371242865,nice,-3.3102594402916634
okay,3.8843338173763184,attractive,-3.2874613300121456
etc punctdot,3.7543283877246516,man punctcomma,-3.285166582023589
cute,3.70038069402585,father,-3.2637544021919953
